example_id,label
0,1
1,1
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,1
11,0
12,1
13,0
14,0
15,0
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,1
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,1
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,1
77,0
78,0
79,1
80,0
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,1
91,0
92,0
93,0
94,1
95,0
96,0
97,1
98,0
99,1
100,0
101,0
102,0
103,1
104,1
105,1
106,1
107,1
108,0
109,0
110,0
111,1
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,1
120,1
121,1
122,0
123,0
124,0
125,1
126,0
127,1
128,0
129,0
130,0
131,1
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,1
140,0
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,0
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,1
172,0
173,0
174,1
175,0
176,0
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,1
203,1
204,0
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,1
221,0
222,1
223,0
224,0
225,1
226,1
227,1
228,0
229,0
230,0
231,0
232,0
233,1
234,1
235,1
236,0
237,1
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,0
246,0
247,1
248,0
249,0
250,1
251,0
252,1
253,1
254,1
255,0
256,0
257,0
258,1
259,0
260,0
261,1
262,0
263,1
264,1
265,1
266,0
267,1
268,0
269,0
270,0
271,0
272,0
273,1
274,0
275,1
276,1
277,0
278,1
279,0
280,0
281,1
282,1
283,0
284,0
285,1
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,1
302,0
303,1
304,1
305,0
306,1
307,0
308,1
309,0
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,1
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,1
339,0
340,0
341,0
342,0
343,1
344,0
345,0
346,1
347,0
348,0
349,1
350,1
351,0
352,0
353,1
354,0
355,1
356,1
357,1
358,1
359,0
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,0
369,0
370,0
371,1
372,0
373,1
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,0
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,0
412,0
413,1
414,0
415,1
416,0
417,1
418,0
419,0
420,0
421,1
422,1
423,0
424,0
425,1
426,1
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,0
435,1
436,0
437,0
438,1
439,1
440,1
441,0
442,0
443,0
444,0
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,1
454,1
455,0
456,1
457,1
458,0
459,0
460,1
461,1
462,0
463,0
464,1
465,0
466,0
467,0
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,0
478,0
479,0
480,1
481,1
482,0
483,0
484,1
485,0
486,1
487,0
488,0
489,0
490,0
491,0
492,0
493,1
494,0
495,1
496,0
497,0
498,0
499,0
500,0
501,1
502,0
503,0
504,0
505,0
506,0
507,0
508,1
509,1
510,1
511,1
512,0
513,0
514,1
515,0
516,0
517,1
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,1
530,0
531,0
532,0
533,0
534,0
535,1
536,0
537,0
538,0
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,0
547,1
548,1
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,0
563,1
564,1
565,1
566,1
567,0
568,0
569,0
570,0
571,1
572,0
573,0
574,0
575,0
576,1
577,0
578,0
579,0
580,0
581,0
582,1
583,0
584,1
585,0
586,1
587,0
588,0
589,1
590,0
591,0
592,0
593,1
594,1
595,1
596,0
597,0
598,1
599,0
600,0
601,1
602,0
603,0
604,0
605,0
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,1
616,1
617,0
618,0
619,1
620,0
621,1
622,1
623,0
624,0
625,1
626,0
627,0
628,1
629,0
630,0
631,1
632,0
633,0
634,0
635,1
636,1
637,0
638,0
639,0
640,0
641,0
642,1
643,0
644,0
645,0
646,0
647,1
648,0
649,0
650,1
651,0
652,1
653,1
654,0
655,0
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,1
666,1
667,0
668,0
669,0
670,1
671,0
672,1
673,1
674,1
675,1
676,0
677,0
678,0
679,1
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,0
724,1
725,1
726,0
727,0
728,0
729,1
730,0
731,1
732,0
733,1
734,0
735,1
736,1
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,1
750,0
751,0
752,1
753,1
754,0
755,1
756,1
757,0
758,1
759,0
760,0
761,1
762,1
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,1
771,0
772,1
773,1
774,0
775,0
776,0
777,0
778,1
779,1
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,0
792,0
793,0
794,1
795,1
796,0
797,1
798,0
799,1
800,1
801,0
802,1
803,1
804,1
805,0
806,0
807,1
808,1
809,1
810,0
811,0
812,1
813,1
814,1
815,0
816,0
817,0
818,1
819,1
820,1
821,0
822,1
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,1
839,1
840,0
841,0
842,1
843,1
844,0
845,0
846,1
847,0
848,0
849,1
850,1
851,1
852,1
853,0
854,1
855,0
856,0
857,0
858,1
859,1
860,1
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,1
872,1
873,0
874,1
875,1
876,0
877,1
878,1
879,1
880,0
881,1
882,0
883,0
884,0
885,0
886,0
887,1
888,0
889,0
890,1
891,1
892,0
893,0
894,1
895,0
896,1
897,1
898,0
899,0
900,1
901,0
902,0
903,0
904,1
905,0
906,0
907,1
908,1
909,0
910,1
911,1
912,1
913,1
914,0
915,1
916,1
917,1
918,1
919,1
920,0
921,1
922,0
923,0
924,1
925,0
926,1
927,1
928,0
929,1
930,1
931,1
932,0
933,0
934,1
935,1
936,0
937,0
938,1
939,1
940,0
941,0
942,1
943,1
944,0
945,1
946,0
947,1
948,0
949,0
950,0
951,0
952,1
953,0
954,0
955,1
956,0
957,1
958,1
959,1
960,0
961,1
962,0
963,0
964,0
965,0
966,1
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,0
976,1
977,1
978,1
979,0
980,1
981,0
982,0
983,0
984,0
985,0
986,0
987,1
988,0
989,1
990,0
991,1
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
1000,0
1001,1
1002,0
1003,1
1004,1
1005,0
1006,1
1007,0
1008,0
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,0
1024,0
1025,0
1026,0
1027,1
1028,0
1029,0
1030,1
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,0
1041,0
1042,0
1043,1
1044,0
1045,0
1046,0
1047,1
1048,1
1049,0
1050,0
1051,1
1052,1
1053,1
1054,1
1055,1
1056,0
1057,1
1058,0
1059,0
1060,0
1061,1
1062,0
1063,0
1064,1
1065,1
1066,0
1067,0
1068,0
1069,1
1070,1
1071,1
1072,0
1073,1
1074,1
1075,0
1076,0
1077,0
1078,0
1079,1
1080,0
1081,1
1082,1
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,1
1093,1
1094,0
1095,0
1096,0
1097,1
1098,0
1099,0
1100,0
1101,0
1102,0
1103,1
1104,0
1105,1
1106,1
1107,0
1108,1
1109,1
1110,1
1111,0
1112,1
1113,0
1114,1
1115,1
1116,0
1117,0
1118,0
1119,1
1120,0
1121,0
1122,0
1123,1
1124,1
1125,1
1126,0
1127,0
1128,0
1129,0
1130,0
1131,1
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,1
1139,0
1140,1
1141,0
1142,0
1143,1
1144,0
1145,1
1146,0
1147,0
1148,1
1149,0
1150,1
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,1
1158,0
1159,0
1160,0
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,0
1169,1
1170,0
1171,0
1172,0
1173,0
1174,0
1175,1
1176,1
1177,0
1178,0
1179,0
1180,0
1181,1
1182,0
1183,0
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1190,0
1191,0
1192,1
1193,0
1194,0
1195,0
1196,0
1197,0
1198,1
1199,1
1200,0
1201,0
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,1
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,1
1217,0
1218,1
1219,0
1220,0
1221,0
1222,0
1223,0
1224,1
1225,1
1226,0
1227,0
1228,1
1229,0
1230,0
1231,0
1232,0
1233,0
1234,1
1235,1
1236,0
1237,0
1238,0
1239,0
1240,0
1241,1
1242,0
1243,0
1244,1
1245,1
1246,1
1247,0
1248,1
1249,1
1250,0
1251,1
1252,0
1253,0
1254,1
1255,0
1256,0
1257,0
1258,0
1259,1
1260,0
1261,0
1262,0
1263,0
1264,0
1265,0
1266,0
1267,1
1268,1
1269,0
1270,1
1271,1
1272,0
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,0
1283,0
1284,0
1285,0
1286,0
1287,0
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,1
1297,0
1298,1
1299,0
1300,0
1301,1
1302,1
1303,0
1304,0
1305,0
1306,0
1307,0
1308,1
1309,0
1310,0
1311,0
1312,1
1313,0
1314,1
1315,1
1316,0
1317,1
1318,0
1319,1
1320,1
1321,0
1322,0
1323,0
1324,1
1325,1
1326,0
1327,1
1328,0
1329,0
1330,0
1331,0
1332,1
1333,0
1334,1
1335,1
1336,1
1337,0
1338,0
1339,1
1340,0
1341,0
1342,1
1343,0
1344,0
1345,1
1346,0
1347,1
1348,1
1349,1
1350,0
1351,0
1352,1
1353,1
1354,0
1355,1
1356,0
1357,0
1358,0
1359,0
1360,1
1361,0
1362,0
1363,0
1364,0
1365,0
1366,0
1367,1
1368,0
1369,1
1370,0
1371,1
1372,1
1373,1
1374,0
1375,0
1376,1
1377,1
1378,1
1379,0
1380,0
1381,1
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,1
1392,0
1393,1
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,1
1401,1
1402,1
1403,1
1404,0
1405,0
1406,0
1407,0
1408,0
1409,1
1410,0
1411,0
1412,0
1413,0
1414,1
1415,1
1416,0
1417,1
1418,0
1419,1
1420,0
1421,1
1422,1
1423,0
1424,0
1425,0
1426,1
1427,1
1428,1
1429,1
1430,1
1431,0
1432,1
1433,1
1434,0
1435,1
1436,1
1437,1
1438,0
1439,1
1440,0
1441,0
1442,1
1443,1
1444,1
1445,1
1446,1
1447,0
1448,1
1449,1
1450,0
1451,0
1452,1
1453,0
1454,0
1455,0
1456,0
1457,0
1458,0
1459,0
1460,0
1461,1
1462,1
1463,0
1464,0
1465,1
1466,0
1467,1
1468,1
1469,0
1470,0
1471,0
1472,0
1473,0
1474,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,1
1481,0
1482,1
1483,1
1484,0
1485,1
1486,0
1487,0
1488,1
1489,0
1490,1
1491,0
1492,1
1493,0
1494,0
1495,1
1496,1
1497,0
1498,0
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,1
1507,1
1508,0
1509,0
1510,0
1511,0
1512,1
1513,1
1514,0
1515,1
1516,1
1517,1
1518,0
1519,0
1520,0
1521,1
1522,1
1523,1
1524,0
1525,1
1526,0
1527,1
1528,0
1529,1
1530,0
1531,0
1532,0
1533,1
1534,0
1535,0
1536,1
1537,1
1538,1
1539,1
1540,1
1541,0
1542,1
1543,1
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,0
1555,1
1556,0
1557,0
1558,1
1559,1
1560,0
1561,0
1562,0
1563,0
1564,1
1565,0
1566,1
1567,0
1568,1
1569,0
1570,0
1571,1
1572,1
1573,0
1574,0
1575,0
1576,0
1577,0
1578,1
1579,0
1580,0
1581,1
1582,0
1583,1
1584,0
1585,0
1586,1
1587,0
1588,1
1589,0
1590,0
1591,0
1592,1
1593,0
1594,0
1595,0
1596,1
1597,0
1598,0
1599,0
1600,0
1601,0
1602,0
1603,0
1604,0
1605,1
1606,1
1607,0
1608,0
1609,1
1610,0
1611,0
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,0
1622,0
1623,0
1624,1
1625,1
1626,0
1627,1
1628,0
1629,0
1630,0
1631,0
1632,1
1633,0
1634,1
1635,0
1636,1
1637,1
1638,0
1639,1
1640,0
1641,1
1642,0
1643,0
1644,1
1645,0
1646,0
1647,0
1648,1
1649,0
1650,0
1651,1
1652,0
1653,0
1654,1
1655,0
1656,1
1657,1
1658,1
1659,0
1660,1
1661,0
1662,0
1663,0
1664,0
1665,1
1666,1
1667,0
1668,0
1669,1
1670,1
1671,0
1672,1
1673,1
1674,0
1675,0
1676,0
1677,1
1678,1
1679,0
1680,1
1681,1
1682,0
1683,0
1684,1
1685,0
1686,0
1687,0
1688,0
1689,1
1690,0
1691,0
1692,0
1693,1
1694,1
1695,0
1696,0
1697,0
1698,0
1699,0
1700,0
1701,1
1702,0
1703,0
1704,0
1705,0
1706,1
1707,1
1708,0
1709,0
1710,1
1711,0
1712,1
1713,1
1714,0
1715,0
1716,1
1717,1
1718,1
1719,0
1720,1
1721,0
1722,0
1723,0
1724,0
1725,0
1726,0
1727,1
1728,1
1729,0
1730,0
1731,0
1732,1
1733,0
1734,0
1735,0
1736,0
1737,1
1738,0
1739,0
1740,0
1741,1
1742,0
1743,0
1744,0
1745,0
1746,0
1747,0
1748,0
1749,1
1750,1
1751,1
1752,1
1753,0
1754,0
1755,0
1756,1
1757,0
1758,0
1759,0
1760,0
1761,1
1762,0
1763,0
1764,0
1765,1
1766,0
1767,1
1768,0
1769,1
1770,1
1771,0
1772,1
1773,0
1774,1
1775,0
1776,1
1777,0
1778,1
1779,0
1780,0
1781,0
1782,1
1783,0
1784,1
1785,0
1786,1
1787,0
1788,0
1789,0
1790,0
1791,1
1792,0
1793,0
1794,0
1795,0
1796,0
1797,1
1798,0
1799,1
1800,1
1801,0
1802,0
1803,1
1804,0
1805,1
1806,0
1807,0
1808,1
1809,0
1810,1
1811,0
1812,0
1813,1
1814,0
1815,0
1816,0
1817,0
1818,1
1819,0
1820,0
1821,1
1822,1
1823,1
1824,0
1825,0
1826,0
1827,0
1828,0
1829,1
1830,0
1831,1
1832,1
1833,1
1834,0
1835,1
1836,1
1837,0
1838,1
1839,1
1840,0
1841,0
1842,1
1843,1
1844,1
1845,1
1846,1
1847,0
1848,0
1849,0
1850,0
1851,0
1852,0
1853,1
1854,1
1855,0
1856,1
1857,0
1858,0
1859,0
1860,0
1861,0
1862,1
1863,0
1864,1
1865,0
1866,0
1867,0
1868,1
1869,0
1870,1
1871,1
1872,0
1873,1
1874,0
1875,1
1876,0
1877,0
1878,1
1879,0
1880,0
1881,0
1882,1
1883,1
1884,0
1885,0
1886,1
1887,1
1888,1
1889,1
1890,0
1891,0
1892,1
1893,1
1894,0
1895,1
1896,0
1897,0
1898,1
1899,0
1900,1
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,1
1911,0
1912,1
1913,0
1914,0
1915,1
1916,1
1917,0
1918,1
1919,0
1920,0
1921,1
1922,0
1923,0
1924,1
1925,1
1926,0
1927,0
1928,1
1929,0
1930,0
1931,0
1932,0
1933,0
1934,1
1935,1
1936,0
1937,0
1938,0
1939,0
1940,0
1941,1
1942,0
1943,1
1944,1
1945,1
1946,1
1947,0
1948,0
1949,0
1950,1
1951,1
1952,0
1953,1
1954,1
1955,0
1956,0
1957,0
1958,1
1959,0
1960,0
1961,1
1962,0
1963,1
1964,0
1965,0
1966,1
1967,0
1968,0
1969,0
1970,0
1971,0
1972,1
1973,0
1974,0
1975,1
1976,0
1977,0
1978,0
1979,1
1980,1
1981,1
1982,0
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,1
1990,0
1991,1
1992,0
1993,0
1994,1
1995,0
1996,0
1997,0
1998,1
1999,0
2000,1
2001,0
2002,0
2003,0
2004,0
2005,0
2006,1
2007,0
2008,1
2009,0
2010,0
2011,0
2012,0
2013,0
2014,0
2015,1
2016,0
2017,1
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,0
2028,0
2029,0
2030,0
2031,1
2032,0
2033,1
2034,0
2035,1
2036,1
2037,0
2038,1
2039,1
2040,0
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,0
2048,0
2049,1
2050,0
2051,0
2052,1
2053,1
2054,1
2055,0
2056,0
2057,1
2058,0
2059,0
2060,0
2061,0
2062,1
2063,1
2064,1
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,0
2072,0
2073,1
2074,1
2075,1
2076,1
2077,0
2078,1
2079,0
2080,0
2081,1
2082,0
2083,0
2084,1
2085,0
2086,1
2087,0
2088,0
2089,0
2090,0
2091,1
2092,0
2093,1
2094,0
2095,0
2096,1
2097,0
2098,0
2099,1
2100,0
2101,1
2102,0
2103,0
2104,0
2105,0
2106,1
2107,0
2108,0
2109,0
2110,1
2111,0
2112,0
2113,1
2114,0
2115,1
2116,0
2117,1
2118,0
2119,0
2120,1
2121,1
2122,1
2123,0
2124,0
2125,1
2126,1
2127,0
2128,0
2129,0
2130,1
2131,0
2132,0
2133,1
2134,1
2135,1
2136,0
2137,0
2138,0
2139,0
2140,1
2141,1
2142,0
2143,0
2144,0
2145,1
2146,0
2147,1
2148,0
2149,0
2150,1
2151,0
2152,1
2153,1
2154,0
2155,0
2156,1
2157,1
2158,1
2159,0
2160,1
2161,1
2162,1
2163,0
2164,1
2165,1
2166,0
2167,0
2168,0
2169,0
2170,1
2171,1
2172,1
2173,0
2174,0
2175,0
2176,0
2177,1
2178,1
2179,0
2180,0
2181,0
2182,0
2183,1
2184,1
2185,0
2186,1
2187,0
2188,1
2189,0
2190,1
2191,0
2192,0
2193,0
2194,0
2195,1
2196,1
2197,0
2198,0
2199,0
2200,1
2201,1
2202,0
2203,0
2204,0
2205,0
2206,1
2207,0
2208,1
2209,0
2210,1
2211,0
2212,1
2213,1
2214,0
2215,0
2216,0
2217,0
2218,1
2219,0
2220,0
2221,0
2222,0
2223,1
2224,0
2225,0
2226,0
2227,0
2228,1
2229,0
2230,0
2231,0
2232,0
2233,0
2234,0
2235,0
2236,1
2237,1
2238,1
2239,0
2240,1
2241,0
2242,0
2243,0
2244,0
2245,1
2246,1
2247,0
2248,0
2249,0
2250,1
2251,1
2252,0
2253,0
2254,0
2255,0
2256,1
2257,1
2258,0
2259,0
2260,0
2261,0
2262,0
2263,1
2264,0
2265,1
2266,1
2267,1
2268,1
2269,0
2270,0
2271,0
2272,1
2273,0
2274,1
2275,0
2276,1
2277,0
2278,1
2279,0
2280,1
2281,1
2282,0
2283,1
2284,1
2285,0
2286,0
2287,1
2288,0
2289,0
2290,1
2291,0
2292,1
2293,0
2294,0
2295,1
2296,1
2297,0
2298,1
2299,0
2300,0
2301,0
2302,1
2303,0
2304,0
2305,0
2306,0
2307,1
2308,1
2309,1
2310,0
2311,1
2312,0
2313,0
2314,0
2315,0
2316,1
2317,0
2318,1
2319,1
2320,0
2321,1
2322,0
2323,0
2324,1
2325,1
2326,0
2327,1
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,1
2335,1
2336,0
2337,1
2338,1
2339,0
2340,0
2341,1
2342,1
2343,0
2344,0
2345,1
2346,0
2347,1
2348,0
2349,1
2350,0
2351,1
2352,0
2353,0
2354,1
2355,0
2356,1
2357,1
2358,1
2359,1
2360,0
2361,0
2362,0
2363,0
2364,1
2365,0
2366,1
2367,1
2368,0
2369,1
2370,0
2371,0
2372,0
2373,0
2374,0
2375,1
2376,0
2377,0
2378,0
2379,1
2380,0
2381,0
2382,1
2383,0
2384,1
2385,0
2386,0
2387,1
2388,1
2389,0
2390,0
2391,0
2392,1
2393,0
2394,0
2395,0
2396,0
2397,0
2398,0
2399,0
2400,1
2401,0
2402,0
2403,0
2404,0
2405,1
2406,1
2407,0
2408,0
2409,0
2410,1
2411,0
2412,1
2413,0
2414,0
2415,0
2416,1
2417,0
2418,1
2419,1
2420,0
2421,1
2422,1
2423,1
2424,0
2425,1
2426,1
2427,1
2428,1
2429,0
2430,1
2431,0
2432,0
2433,0
2434,0
2435,0
2436,0
2437,1
2438,1
2439,1
2440,1
2441,0
2442,1
2443,0
2444,0
2445,1
2446,1
2447,1
2448,1
2449,0
2450,1
2451,1
2452,0
2453,0
2454,1
2455,1
2456,1
2457,1
2458,0
2459,1
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,1
2471,0
2472,1
2473,1
2474,1
2475,1
2476,0
2477,1
2478,0
2479,0
2480,1
2481,0
2482,0
2483,0
2484,0
2485,1
2486,0
2487,0
2488,1
2489,0
2490,1
2491,1
2492,1
2493,1
2494,1
2495,0
2496,1
2497,1
2498,0
2499,0
2500,0
2501,1
2502,0
2503,0
2504,0
2505,1
2506,0
2507,0
2508,0
2509,0
2510,0
2511,1
2512,0
2513,0
2514,1
2515,1
2516,1
2517,0
2518,0
2519,1
2520,0
2521,0
2522,0
2523,0
2524,0
2525,0
2526,0
2527,0
2528,1
2529,1
2530,1
2531,0
2532,1
2533,1
2534,0
2535,0
2536,0
2537,0
2538,0
2539,1
2540,1
2541,1
2542,1
2543,1
2544,0
2545,0
2546,1
2547,0
2548,0
2549,0
2550,1
2551,0
2552,1
2553,0
2554,1
2555,0
2556,0
2557,0
2558,0
2559,1
2560,1
2561,0
2562,0
2563,0
2564,0
2565,1
2566,1
2567,0
2568,1
2569,0
2570,1
2571,0
2572,1
2573,0
2574,1
2575,0
2576,0
2577,1
2578,0
2579,0
2580,1
2581,0
2582,1
2583,0
2584,1
2585,0
2586,0
2587,0
2588,1
2589,0
2590,0
2591,1
2592,0
2593,0
2594,0
2595,1
2596,1
2597,1
2598,1
2599,0
2600,1
2601,0
2602,1
2603,0
2604,0
2605,1
2606,1
2607,0
2608,1
2609,0
2610,1
2611,1
2612,1
2613,0
2614,1
2615,1
2616,1
2617,0
2618,1
2619,0
2620,0
2621,1
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,1
2631,1
2632,0
2633,1
2634,1
2635,0
2636,1
2637,1
2638,0
2639,0
2640,0
2641,0
2642,1
2643,1
2644,0
2645,1
2646,0
2647,0
2648,0
2649,1
2650,1
2651,1
2652,0
2653,0
2654,1
2655,1
2656,1
2657,0
2658,0
2659,1
2660,1
2661,0
2662,0
2663,1
2664,0
2665,0
2666,0
2667,1
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,1
2675,1
2676,0
2677,1
2678,0
2679,1
2680,1
2681,0
2682,0
2683,1
2684,1
2685,0
2686,0
2687,1
2688,1
2689,0
2690,0
2691,1
2692,1
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,1
